Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,31,Male,83,Research Scientist,1,Single,2960,2,No,11,3,8,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,32,Female,58,Manager,3,Divorced,19094,4,No,11,3,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,33,Female,72,Research Scientist,1,Single,3919,1,Yes,22,4,10,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,35,Male,48,Sales Executive,2,Married,6825,0,No,11,3,10,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,36,Female,42,Healthcare Representative,4,Married,10248,3,No,14,3,24,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,38,Female,83,Manager,1,Single,18947,3,No,12,3,22,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,39,Male,78,Laboratory Technician,4,Single,2496,4,No,11,3,7,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,40,Male,41,Healthcare Representative,4,Married,6465,2,Yes,13,3,9,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,41,Male,83,Laboratory Technician,3,Single,2206,1,No,13,3,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,42,Male,56,Sales Representative,4,Married,2086,3,No,14,3,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,45,Male,61,Research Scientist,4,Married,2293,2,Yes,16,3,6,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,46,Female,72,Research Scientist,3,Divorced,2645,1,No,12,3,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,47,Male,86,Sales Representative,3,Married,2683,1,Yes,14,3,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,49,Female,97,Sales Representative,4,Married,2014,1,No,13,3,2,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,51,Female,82,Research Scientist,1,Married,3419,9,Yes,14,3,6,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,52,Female,42,Sales Executive,1,Married,5376,2,No,19,3,10,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,53,Male,75,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,54,Female,33,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,55,Male,48,Laboratory Technician,3,Single,2293,1,No,12,3,1,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,56,Male,37,Sales Executive,3,Single,8726,1,No,15,3,9,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,57,Female,58,Laboratory Technician,4,Single,4011,1,No,23,4,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,58,Female,49,Research Director,3,Married,19545,1,No,12,3,23,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,60,Male,72,Sales Executive,3,Single,4568,0,No,20,4,10,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,61,Male,73,Research Scientist,2,Married,3022,4,No,21,4,8,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,62,Male,98,Sales Executive,4,Single,5772,4,Yes,21,4,14,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,63,Male,36,Laboratory Technician,4,Married,2269,1,No,19,3,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,64,Male,98,Laboratory Technician,3,Single,5381,9,Yes,13,3,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,65,Male,50,Laboratory Technician,3,Single,3441,1,Yes,13,3,2,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,68,Female,75,Sales Executive,1,Divorced,5454,5,Yes,21,4,9,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,70,Male,79,Healthcare Representative,1,Married,9884,2,Yes,13,3,10,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,72,Female,47,Sales Executive,4,Married,4157,7,Yes,19,3,5,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,73,Female,98,Research Director,4,Single,13458,1,Yes,12,3,15,1,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,74,Male,71,Sales Executive,1,Married,9069,1,No,22,4,9,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,75,Female,30,Laboratory Technician,1,Married,4014,3,Yes,15,3,4,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,76,Male,48,Laboratory Technician,4,Divorced,5915,3,No,22,4,10,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,77,Male,51,Manufacturing Director,3,Divorced,5993,1,No,18,3,7,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,78,Male,33,Manufacturing Director,4,Married,6162,1,Yes,22,4,9,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,79,Female,50,Laboratory Technician,4,Single,2406,1,No,11,3,10,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,80,Female,43,Research Director,3,Divorced,18740,5,Yes,12,3,29,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,81,Female,99,Sales Executive,1,Single,7637,7,No,11,3,28,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,83,Female,59,Healthcare Representative,3,Divorced,10096,1,No,13,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,84,Female,33,Manager,3,Divorced,14756,2,Yes,14,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,85,Male,95,Manufacturing Director,2,Single,6499,1,No,13,3,6,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,86,Male,59,Research Scientist,1,Divorced,9724,2,No,17,3,25,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,88,Male,79,Research Scientist,1,Married,2194,4,No,13,3,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,90,Male,79,Research Scientist,3,Married,3388,0,Yes,17,3,2,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,91,Female,57,Sales Executive,3,Single,5473,7,No,11,3,20,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,94,Male,76,Research Scientist,2,Married,2703,0,No,23,4,6,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,95,Male,87,Research Scientist,2,Single,2501,1,No,17,3,1,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,96,Male,66,Research Scientist,2,Married,6220,1,No,17,3,10,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,97,Female,55,Laboratory Technician,4,Married,3038,3,No,12,3,5,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,98,Female,61,Manufacturing Director,4,Single,4424,1,No,23,4,11,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,100,Male,32,Sales Executive,1,Single,4312,0,No,14,3,16,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,101,Male,52,Research Director,1,Married,13245,4,Yes,14,3,17,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,102,Male,30,Research Director,3,Single,13664,4,No,13,3,16,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,103,Male,80,Human Resources,2,Divorced,5021,8,Yes,22,4,16,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,104,Male,55,Laboratory Technician,4,Married,5126,1,Yes,12,3,10,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,105,Male,30,Research Scientist,3,Single,2859,1,No,18,3,6,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,106,Male,70,Sales Executive,4,Married,10239,3,No,14,3,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,107,Female,79,Research Scientist,4,Divorced,5329,7,Yes,12,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,110,Male,94,Manufacturing Director,2,Married,4325,1,No,15,3,5,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,112,Male,49,Manufacturing Director,4,Single,7260,4,No,11,3,37,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,113,Male,62,Sales Representative,1,Divorced,2322,3,No,13,3,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,116,Male,96,Laboratory Technician,4,Married,2075,3,No,23,4,10,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,117,Male,99,Healthcare Representative,4,Married,4152,1,No,19,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,118,Male,64,Sales Executive,4,Single,9619,1,No,16,3,9,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,119,Male,78,Healthcare Representative,2,Married,13503,1,No,22,4,22,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,120,Male,71,Sales Executive,4,Single,5441,0,Yes,22,4,11,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,121,Female,63,Sales Executive,2,Divorced,5209,1,Yes,12,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,124,Male,40,Healthcare Representative,1,Married,10673,2,Yes,13,3,21,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,125,Male,87,Sales Executive,3,Single,5010,1,No,16,3,12,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,126,Female,60,Research Director,3,Married,13549,9,No,12,3,16,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,128,Female,33,Sales Executive,3,Married,4999,0,No,21,4,4,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,3,Medical,129,Male,43,Sales Executive,3,Married,4221,1,No,15,3,5,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,131,Male,37,Sales Executive,3,Single,13872,0,No,13,3,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,132,Male,67,Laboratory Technician,2,Married,2042,4,No,12,3,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,133,Male,63,Human Resources,1,Divorced,2073,4,Yes,22,4,7,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,134,Male,71,Research Scientist,1,Single,2956,1,No,13,3,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,137,Female,66,Laboratory Technician,4,Single,2926,1,Yes,18,3,1,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,138,Female,41,Research Scientist,3,Single,4809,1,No,14,3,16,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,139,Male,100,Healthcare Representative,4,Divorced,5163,5,No,14,3,17,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,140,Female,32,Manager,4,Married,18844,9,No,21,4,30,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,141,Female,73,Research Director,2,Married,18172,3,Yes,19,3,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,142,Male,46,Sales Executive,3,Single,5744,1,Yes,11,3,6,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,143,Male,64,Research Scientist,4,Married,2889,1,No,11,3,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,144,Female,59,Laboratory Technician,4,Single,2871,1,No,15,3,1,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,145,Female,30,Healthcare Representative,1,Single,7484,3,No,20,4,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,147,Male,66,Laboratory Technician,3,Single,6074,1,Yes,24,4,9,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,148,Female,30,Manager,4,Single,17328,2,Yes,12,3,23,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,150,Male,52,Laboratory Technician,3,Married,2774,0,No,12,3,6,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,151,Female,45,Research Scientist,2,Divorced,4505,6,No,15,3,12,3,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,152,Male,87,Sales Executive,4,Single,7428,2,No,12,3,12,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,153,Female,45,Manager,1,Single,11631,2,No,12,3,14,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,154,Female,92,Sales Executive,4,Married,9738,0,No,14,3,10,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,155,Female,39,Laboratory Technician,4,Divorced,2835,5,No,22,4,7,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,158,Male,92,Manager,4,Married,16959,1,Yes,12,3,25,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,159,Male,96,Research Scientist,3,Divorced,2613,1,No,25,4,10,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,160,Male,95,Sales Executive,2,Married,6146,0,No,13,3,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,161,Female,72,Research Scientist,2,Married,4963,9,Yes,18,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,162,Male,51,Research Director,3,Single,19537,7,No,13,3,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,163,Male,76,Sales Executive,3,Married,6172,4,Yes,18,3,12,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,164,Female,46,Research Scientist,2,Married,2368,1,No,19,3,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,165,Female,94,Healthcare Representative,4,Married,10312,1,No,12,3,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,167,Male,50,Sales Representative,3,Single,1675,1,Yes,19,3,0,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,169,Male,100,Laboratory Technician,4,Married,2523,0,No,14,3,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,170,Female,96,Manufacturing Director,1,Married,6567,1,No,14,3,16,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,171,Female,72,Research Scientist,3,Single,4739,4,No,12,3,18,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,174,Female,77,Sales Executive,4,Single,9208,4,No,11,3,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,175,Female,71,Sales Executive,3,Married,4559,3,Yes,11,3,4,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,176,Male,96,Sales Executive,3,Divorced,8189,3,Yes,13,3,12,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,177,Female,61,Human Resources,3,Married,2942,1,No,23,4,8,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,178,Male,84,Manufacturing Director,2,Divorced,4941,6,No,20,4,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,179,Male,53,Manufacturing Director,4,Single,10650,2,No,15,3,18,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,182,Female,47,Sales Executive,3,Married,5902,4,No,14,3,17,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,183,Male,41,Sales Executive,3,Married,8639,2,No,18,3,6,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,184,Male,48,Human Resources,4,Married,6347,0,Yes,19,3,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,190,Female,41,Laboratory Technician,1,Single,4200,7,No,22,4,10,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,192,Male,83,Research Scientist,4,Single,3452,5,No,13,3,9,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,193,Female,32,Research Scientist,3,Single,4317,3,Yes,20,4,19,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,194,Female,75,Research Scientist,3,Single,2632,1,No,14,3,5,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,195,Male,35,Sales Executive,4,Divorced,4668,0,No,17,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,197,Female,84,Research Scientist,1,Divorced,3204,5,No,14,3,8,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,198,Male,35,Laboratory Technician,4,Single,2720,0,No,13,3,6,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,199,Male,91,Manager,1,Divorced,17181,4,No,13,3,21,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,200,Male,94,Laboratory Technician,1,Married,2238,2,No,21,4,7,2,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,201,Female,79,Laboratory Technician,2,Single,1483,1,No,14,3,1,3,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,202,Female,54,Research Scientist,2,Divorced,5605,1,No,11,3,20,2,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,204,Male,94,Sales Executive,2,Married,7295,1,No,13,3,10,3,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,205,Male,34,Sales Representative,3,Married,2306,2,Yes,20,4,13,3,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,206,Male,60,Laboratory Technician,2,Divorced,2348,8,No,18,3,20,2,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,207,Female,43,Sales Executive,4,Single,8998,1,No,14,3,9,2,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,208,Male,41,Manufacturing Director,3,Married,4319,1,No,13,3,10,1,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,211,Male,34,Manufacturing Director,3,Married,6132,2,No,17,3,10,2,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,214,Female,75,Research Scientist,2,Married,3346,4,Yes,20,4,9,3,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,215,Male,67,Sales Executive,4,Married,10855,7,No,11,3,15,2,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,4,Marketing,216,Female,75,Sales Representative,3,Married,2231,6,No,18,3,6,3,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,217,Male,80,Research Scientist,4,Married,2323,1,No,24,4,2,6,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,218,Male,57,Research Scientist,2,Divorced,2024,6,No,18,3,6,1,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,221,Male,42,Research Scientist,4,Married,2713,1,No,11,3,5,2,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,223,Male,83,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,12,2,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,3,Medical,224,Male,79,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,2,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,226,Female,53,Manager,2,Single,19926,3,No,15,3,21,5,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,227,Male,56,Research Scientist,3,Divorced,2451,4,No,12,3,13,2,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,228,Female,41,Sales Executive,4,Married,9419,2,No,12,3,12,2,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,230,Female,59,Sales Executive,4,Single,8686,4,No,22,4,12,2,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,231,Male,43,Research Scientist,3,Single,3038,3,No,20,4,8,2,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,233,Male,51,Research Scientist,2,Married,3058,0,Yes,16,3,6,3,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,235,Female,100,Sales Representative,1,Single,2325,0,No,21,4,1,5,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,238,Male,30,Laboratory Technician,2,Single,2088,4,No,12,3,13,3,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,3,Medical,239,Male,66,Laboratory Technician,1,Divorced,3072,1,No,11,3,12,4,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,2,Life Sciences,240,Female,30,Sales Executive,1,Divorced,5006,4,Yes,11,3,9,3,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,241,Female,67,Research Scientist,1,Divorced,4257,4,Yes,18,3,19,3,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,242,Male,90,Research Scientist,4,Single,2500,0,No,14,3,4,2,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,243,Male,47,Laboratory Technician,4,Single,1102,1,No,22,4,1,3,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,2,Marketing,244,Female,92,Sales Executive,1,Divorced,10453,1,No,25,4,24,2,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,245,Female,75,Laboratory Technician,4,Single,2288,1,No,12,3,2,3,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,Medical,246,Female,95,Research Scientist,4,Married,3929,8,Yes,23,4,7,0,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,2,Medical,247,Female,95,Research Scientist,2,Single,2311,2,No,15,3,9,3,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,2,Marketing,248,Female,70,Sales Representative,2,Single,3140,1,Yes,22,4,4,5,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,3,Medical,249,Male,86,Laboratory Technician,3,Married,3690,2,No,15,3,5,2,2,3,2,0,2
